objectid,parentid,title,display_template,creatorid,creator,type,format,subjectid,subject,topicid,subtopic,description,date,date_published,publisher,journal_title,language,relation,filename,object_location,image_small,image_thumb
syllabus_1,,rel1000 syllabus (1976-77),compound_object,scholar24,Willard Gurdon Oxtoby,collection,'image/jpeg',,,,,Syllabus of academic year 1976-77,1976-1977,1976,,,eng,,syllabus_001.jpg,/objects/syllabus_001.jpg,/objects/small/syllabus_001_sm.jpg,/objects/thumbs/syllabus_001_th.jpg
reading_1,syllabus_1,Manuel of Science of Religion,record,scholar1,Pierre Daniel Chantepie de la Saussaye,Image;StillImage,,subject1,Phenomenology of Religion,topic1,scientific study of religion through categories and manifested features of religion,assigned weekly reading,1976-11-29,1891,"London, New York, Longmans, Green",,fra,(IsVersionOf):  the two-volume Lehrbuch der Religionsgeschichte (1887–1889),,,,
reading_2,syllabus_1,The Phenomenology of Religion: A Teacher's Guide,record,scholar2,Eric John Sharpe,Image;StillImage,,subject1,Phenomenology of Religion,topic1,scientific study of religion through categories and manifested features of religion,assigned weekly reading,1976-11-29,,,'A.C.T.D.E. Divinity Section Bulletin 12',eng,(Is part of): A.C.T.D.E. Divinity Section Bulletin 12,,,,
reading_3,syllabus_1,The Meaning of Religion,record,scholar3,William Brede Kristensen,Image;StillImage,,subject2,Husserl and Kristensen,topic2,historical and comparative approach to the study of religion,assigned weekly reading,1976-12-06,1960,M. Nijhoff,,eng,NA,,,,
reading_4,syllabus_1,What is Phenomenology?,record,scholar4,Joseph J Kockelmans,Image;StillImage,,subject2,Husserl and Kristensen,topic3,comprehensive introduction to the philosophical movement of phenomenology,assigned weekly reading,1976-12-06,1967,Anchor Books,,eng,(IsPartOf): Phenomenology: The Philosophy of Edmund Husserl and Its Interpretation,,,,
reading_5,syllabus_1,Is Phenomenology a Method for the Study of Religion?,record,scholar5,Hans H. Penner,Image;StillImage,,subject2,Husserl and Kristensen,topic4,Is Phenomenology a Method for the Study of Religion?,assigned weekly reading,1976-12-06,1970,,"'Bucknell Review 18 (1970), pp 29-54'",eng,"(IsPartOf): Bucknell Review 18 (1970), pp 29-54",,,,
reading_6,syllabus_1,The Idea of the Holy-An Inquiry into the Non-Rational Factor in the Idea of the Divine and Its Relation to the Rational,record,scholar6,Rudolf Otto,Image;StillImage,,subject3,Otto,topic5,the idea of the Holy_the non-rational factor and its relation to the rational,assigned weekly reading,1976-12-13,1923,Oxford University Press,,eng,"(IsVersionOf):  Das Heilige, Über das Irrationale in der Idee des Göttlichen und sein Verhältnis zum Rationalen (1917)",,,,
reading_7,syllabus_1,Rudolf Otto and the Idea of the Holy,record,scholar7,Joachim Wach,Image;StillImage,,subject3,Otto,topic5,the idea of the Holy_the non-rational factor and its relation to the rational,assigned weekly reading,1976-12-13,1951,University of Chicago Press,,eng,"(IsPartOf): Types of Religious Experience: Christian and Non-Christian, pp 209-227",,,,
reading_8,syllabus_1,Religion in Essence and Manifestation: A Study in Phenomenology,record,scholar8,Gerardus Van der Leeuw,Image;StillImage,,subject4,Van der Leeuw,topic6,the essential nature of religion and its various manifestations across different cultures and historical periods,assigned weekly reading,1977-01-03,1938,Oxford University Press,,eng,(IsVersionOf): Phänomenologie der Religion (1938),,,,
reading_9,syllabus_1,The Theology of a Phenomenologist,record,scholar9,John Braisted Carman,Image;StillImage,,subject4,Van der Leeuw,topic7,the exploration of how phenomenological insights can enrich theological discourse and deepen our understanding of religious phenomena,assigned weekly reading,1977-01-03,1965,,'Harvard Divinity Bulletin',eng,"(IsPartOf): Harvard Divinity Bulletin 29:3 (April 1965), pp 13-42",,,,
reading_10,syllabus_1,Patterns in comparative religion,record,scholar10,Mircea Eliade,Image;StillImage,,subject5,Mircea Eliade,topic8,"the concept of the ""eternal return"", underlying the diverse expressions of religious beliefs and practices across cultures are fundamental patterns and structures that reveal humanity's search for transcendent meaning.",assigned weekly reading,1977-01-10,1958,Sheed & Ward,,eng,(IsVersionOf): Traité d'histoire des religions. (1958),,,,
reading_11,syllabus_1,Structures and Changes in the History of Religion,record,scholar10,Mircea Eliade,Image;StillImage,,subject5,Mircea Eliade,topic9,the structural patterns and transformative changes that occur within religious traditions,assigned weekly reading,1977-01-10,1960,University of Chicago Press,,eng,"(IsPartOf): City Invincible (Chicago, 1960), pp 351-366",,,,
reading_12,syllabus_1,Sermons By a Man on a Ladder,record,scholar11,Edmund R. Leach,Image;StillImage,,subject5,Mircea Eliade,topic9,the structural patterns and transformative changes that occur within religious traditions,assigned weekly reading,1977-01-10,1966,,'The New York Review',eng,"(IsPartOf): City Invincible (Chicago, 1960), pp 351-367",,,,
reading_13,syllabus_1,In defence of Eliade: Toward bridging the communications gap between anthropology and the history of religions,record,scholar12,Mac Linscott Ricketts,Image;StillImage,,subject5,Mircea Eliade,topic9,the structural patterns and transformative changes that occur within religious traditions,assigned weekly reading,1977-01-10,1973,Elsevier Ltd,'The Journal of Religion',eng,"(IsPartOf): Religion (London, 1971), 1973, Vol. 3(1),  pp 13-34",,,,
reading_14,syllabus_1,The Place of the History of Religions in the Study of Theology,record,scholar7,Joachim Wach,Image;StillImage,,subject6,Wach,topic10,"the intersection of religious history, theology, and interdisciplinary approaches to undersanding religious phenomena",assigned weekly reading,1977-01-17,1951,University of Chicago Press,,eng,"(IsPartOf): Types of Religious Experience,  (Chicago, 1951), 3-29",,,,
