objectid,title,gender,nationality,employer,location,latitude,longitude,subject,publication,hire_date,retire_date,birth,death,external_link
scholar1,Pierre Daniel Chantepie de la Saussaye,m,Dutch,Leiden University,,,,the phenomenology of religion;psychology of religion;comparative religion,,,,,,
scholar2,Eric.John Sharpe,m,British,University of Sydney,,,,the phenomenology of religion;the history of religion;the history of religion,,,,,,
scholar3,William Brede Kristensen,m,Dutch,Leiden University,,,,the phenomenology of religion,,,,,,
scholar4,Joseph J Kockelmans,m,Dutch,Pennsylvania State University,,,,the phenomenology of religion;Hermeneutics;Existentialism;Hermeneutics;Existentialism,,,,,,
scholar5,Hans H. Penner,m,,,,,,,,,,,,
scholar6,Rudolf Otto,m,German,University of Marburg,,,,the non-rational and ineffable aspects of encountering the divine;psychology of religion;symbolism and rituals,,,,,,
scholar7,Joachim Wach,m,British,University of Chicago,,,,the phenomenology of religion;Comparative religion,,,,,,
scholar8,Gerardus Van der Leeuw,m,Dutch,University of Groningen,,,,the phenomenology of religion;Comparative religion;symbolism and rituals,,,,,,
scholar9,John Braisted Carman,m,British,Harvard Divinity School,India,,,the phenomenology of religion;Hinduism;Tantric traditions with Hinduism,,,,,,
scholar10,Mircea Eliade,m,Romanian,University of Chicago,,,,Comparative religion;symbolism and rituals;Mythology and sacred texts,,,,,,
scholar11,Edmund R. Leach,m,British,Cambridge University,Myanmar,,,social anthropology_structuralim;the Kachin people of Burma,,,,,,
scholar12,Mac Linscott Ricketts,m,American,Harford Seminary,,,,Islamic studies;Interfaith dialogue,,,,,,
scholar13,Joseph.M. Kitagawa,m,Japanese,University of Chicago,,,,history of religion;East Asian religions;comparative religion,,,,,,
scholar14,Charles Monroe Wood,m,American,Southern Methodist University,,,,Moral philosophy;moral psychology;philosophy of mind,,,,,,
scholar15,Wilfred Cantwell Smith,m,Canadian,McGill University,,,,Comparative religion;Islamic studies;philosophy of religion,,,,,,
scholar16,Roderick Ninian Smart,m,Scottish,"University of California, Santa Barbara",,,,Comparative religion;Theory of religion;philosophy of religion,,,,,,
